trader,num_return_days,avg_equity,max_net_deposit,is_kept,pos_day_ratio,avg_gain,avg_loss,payoff_ratio,mean_return,std_return,skew_return,kurtosis_excess,p1_return,p5_return,p95_return,p99_return,tail_avg_5pct,max_drawdown_synth,worst_5d_return,worst_10d_return,acf1_return,acf1_abs_return,ret_prev_equity_corr,mean_return_big_equity,mean_return_small_equity,num_active_days,active_day_ratio,max_gap_calendar_days
0x2c352e53a2b471b0d98f00d6117ee40e708c72b8,161,758449.2759482531,174297.2300000000,1,0.4658385093,0.0640989625,-0.0516247535,1.2416323198,0.0022838098,0.0803527685,0.3280055880,3.7171802713,-0.1617200682,-0.1211881366,0.1326399140,0.2168318591,-0.1634292212,0.7013872891,-0.4139160260,-0.4736180824,-0.0362595553,0.0259746528,-0.1220983625,-0.0051037098,0.0097636735,161,1.0000000000,12
0x2c841dc4b15bed72a9a6e98951229951fda18fcd,145,43165.9055993425,16612.5000000000,1,0.1586206897,0.1311496961,-0.0534025327,2.4558703407,0.0082810821,0.1014785822,5.6328119101,43.0520200315,-0.1756874652,-0.0896471978,0.0773686382,0.2167202235,-0.1343859757,0.5641542701,-0.7053660550,-0.7053660550,-0.0076955407,0.1366819914,-0.1229041734,0.0005710139,0.0160982345,57,0.3931034483,28
0x2cb562384765bea1612ceb60007e315f904fbe86,172,39093.2298021907,30000.0000000000,1,0.7209302326,0.0838221529,-0.0476844786,1.7578498354,0.0471226278,0.1443425776,1.2177944741,20.8786568302,-0.2323640706,-0.0640580749,0.2573353566,0.6044679910,-0.2073833384,0.8618538798,-0.8823184099,-0.9051539318,0.3565348616,0.3556853268,-0.3434429027,0.0047420411,0.0905004048,172,1.0000000000,6
0x2cbcfa87aa570d72ad7b376e729e167071f1cd33,178,18120.4342579106,10910.2600000000,1,0.5842696629,0.0499016557,-0.0694090435,0.7189503444,0.0003005785,0.1049311318,-0.7458379397,7.3684710713,-0.4146957302,-0.2121237676,0.1423218202,0.2846821641,-0.3068267597,0.9212389108,-0.9596787030,-1.3887646246,0.0092304426,0.3976165758,0.0391526914,0.0058754234,-0.0054009674,178,1.0000000000,1
0x2cd991f48ba31536a96b772536a1daaaedf150ae,172,1396353.1826562139,1680676.1399999999,1,0.4941860465,0.0692199039,-0.0615583785,1.1244595057,0.0030704238,0.0961959592,0.6046305311,3.3065641265,-0.2771387975,-0.1234578444,0.1444558168,0.2927792441,-0.2081833935,0.6955275828,-0.6066683438,-0.6057240454,-0.1046169361,0.2403174560,-0.0067052038,0.0075712155,-0.0015362688,172,1.0000000000,6
0x2cd9f4645b14bf968212c7c108213eaeb193946e,134,25801.7812467704,18486.2500000000,1,0.4179104478,0.0186164351,-0.0176602275,1.0541446930,0.0048805624,0.0234595075,2.2741125147,14.3718269755,-0.0523994186,-0.0171183278,0.0401879101,0.0810217368,-0.0434823930,0.1004221342,-0.0822350500,-0.0822350500,0.0480328277,0.3297058957,-0.0582633277,0.0027601411,0.0070652389,78,0.5820895522,6
0x2cde6e2eb2b3ef373a36ac5072d918f9af393e3b,12,1129.7478661184,15158.5900000000,0,0.5833333333,0.2203541421,-0.0843170183,2.6134005516,0.0934078253,0.2251113076,0.8455559562,0.0084137132,-0.2284918458,-0.2284918458,0.3400707566,0.3400707566,-0.2284918458,0.2284918458,-0.0352196609,0.9327549735,0.3005186473,0.5651213128,-0.3853858699,0.0758002161,0.2870915264,12,1.0000000000,1
0x2ce1af69a615704971daaa73a2e54faaa18668f6,147,40543.0520317297,104168.9300000000,1,0.4081632653,0.1125799667,-0.1359858878,0.8278797790,0.0154235626,0.1366463362,0.4005084920,6.1822120497,-0.3508896192,-0.2372243077,0.2287373939,0.3526729269,-0.3321497261,0.6989840535,-0.8842940923,-0.8546690928,-0.1299329073,0.4060062656,-0.0712334816,0.0060265243,0.0249493275,93,0.6326530612,2
0x2ce1fbdd33020c5992021c8924134590f66a2acd,178,48590.2005147486,29737.0000000000,1,0.5449438202,0.0530202069,-0.0402381362,1.3176606064,0.0105824216,0.0843280637,0.6156435782,13.0436672877,-0.2993464867,-0.0794700169,0.1433261827,0.1934536557,-0.2209928557,0.6021406526,-0.7585094179,-0.5132055951,0.1380328163,0.2111514234,0.0409315556,0.0101288617,0.0110462897,178,1.0000000000,1
0x2d19f73005f0450c5e9f459dfc7e8da9c581b788,155,18917.0760306603,6145.3800000000,1,0.1612903226,0.0621274773,-0.0664089167,0.9355291493,-0.0028327779,0.0570026755,-1.1591518994,13.1409147540,-0.2482176455,-0.0807098847,0.0720801212,0.1536622609,-0.1773147273,0.7179109693,-0.7136771109,-0.7454566480,0.1627323912,0.3576461500,-0.0876347532,-0.0031760002,-0.0022426762,55,0.3548387097,10
0x2d4cfacb090c112ff2fd7c23d80e966f646792e3,46,3085.0567723617,2095.5400000000,1,0.0869565217,0.1688941342,-0.0031471451,53.6658228887,0.0145496141,0.0525616302,3.8822220964,15.3986477289,-0.0062812670,0.0000000000,0.1173862580,0.1372029854,-0.0031471451,0.0062812670,-0.0000130233,-0.0000130233,-0.0744307920,-0.0647922989,-0.1522690496,0.0113681773,0.0183370388,6,0.1304347826,78
0x2d5830b16f7d9dbdc12024bc6df011859920f320,137,26499.2921634348,23033.3300000000,1,0.2189781022,0.0248888710,-0.0286410056,0.8689943138,0.0006417737,0.0354102279,5.5506417941,56.6916484791,-0.1053521008,-0.0334639173,0.0135234559,0.0444990153,-0.0750014909,0.2058680454,-0.1788306105,-0.1668074070,-0.0027061360,0.0119308964,0.0101712900,0.0007612365,-0.0003298567,53,0.3868613139,31
0x2d689f316cd3b7a0faa03f341ef0137fb0cdb70c,13,1150.1311920471,8409.2500000000,0,0.3846153846,0.2825252095,-0.7522779870,0.3755595862,-0.3542767576,0.6717035608,0.3678455722,-1.1110783661,-1.0000000000,-1.0000000000,0.1367766655,0.1367766655,-1.0000000000,1.0000000000,-5.0000000000,-4.8434774101,0.5240642419,0.8371545951,0.6025458549,-0.3542767576,,13,1.0000000000,1
0x2d6efe282a247e5968022154de935130e945e1e1,32,11314.8652709697,10000.0000000000,1,0.3750000000,0.0131117390,-0.0010352204,12.6656495210,0.0047551489,0.0174122439,4.3770604472,18.6364811263,-0.0023290551,-0.0015179319,0.0066604272,0.0366352700,-0.0023290551,0.0023290551,-0.0016028012,0.0028333766,-0.0771417086,-0.0840495562,-0.6572904344,0.0008687663,0.0091597159,17,0.5312500000,1
0x2da0b905bfa45b9ec7037a612bb8d9b76fddb8cf,175,79268.2990172216,36875.7100000000,1,0.4800000000,0.0415937452,-0.0429714728,0.9679385515,-0.0001702067,0.0583526641,-0.1448303883,3.2648972604,-0.1445500305,-0.0917923852,0.0831319665,0.1738115583,-0.1405543885,0.6920237773,-0.3646452716,-0.3609325419,0.0488460850,0.1904563607,-0.0756588219,-0.0016012213,0.0012772562,166,0.9485714286,3
0x2da91425d9c718d273ed9045ed12cd04b2cbce9f,50,10073.8408064516,7017.9100000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,84
0x2dcec100191fac42995f7338651542f4eec5adb6,1,3334.9174860000,5950.0000000000,0,1.0000000000,0.0204718933,,,0.0204718933,0.0000000000,,,0.0204718933,0.0204718933,0.0204718933,0.0204718933,0.0204718933,0.0000000000,,,,,,0.0204718933,,1,1.0000000000,0
0x2e1348abfcca9c90b2caea65f2a2177e9dd23423,61,8038.4397174516,7802.5800000000,1,0.0163934426,0.3972402619,,,0.0065121354,0.0508614037,7.5541759160,55.0491803279,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,0.3972402619,1,0.0163934426,111
0x2e1aa624f04fa7ab7198c6fbfeaa42a707b42c1a,149,229958.0302655667,254523.7200000000,1,0.8187919463,0.0075333357,-0.0344404017,0.2187354201,0.0020076492,0.0222906709,-2.6963283994,13.6790027886,-0.1100298506,-0.0341018049,0.0256321745,0.0419424228,-0.0779476790,0.3198510713,-0.2028664653,-0.2510755913,0.0655413061,-0.0456348314,0.1188238385,0.0050020407,-0.0010272070,140,0.9395973154,6
0x2e25df3ad4a1cfe900c019870e3ba117e20f034b,84,1379.3563644353,1026.9800000000,0,0.5595238095,0.0240434089,-0.0173042937,1.3894475755,0.0058307304,0.0350510707,2.9353258732,16.4423111920,-0.0627525468,-0.0392120655,0.0480719782,0.0758939984,-0.0509439618,0.0885599249,-0.0618976558,-0.0544429600,-0.0842097950,0.2535855156,-0.2295048685,0.0003670346,0.0115609479,84,1.0000000000,19
