trader,cluster
0x1a6fed4bf6ae595834e6d2d56c72dfee26e99715,-1
0x1ab71cf3e39a36b5ada54f0575c6534ec04727ab,-1
0x1c1891461365cd8aa4a9c0fc01a141b004c8f2c1,-1
0x1c1d478336767da180097f48009d147f99aae1be,21
0x1c2aa40ee858e655d18b5e5e9c17517bda099824,15
0x1c9e242d85fc0e4376ad1ea56143b9fdf9f61017,23
0x1d2a3b568e82678f22df040485b8cc006f3d0ea6,11
0x1d7572c57cd347d52a528963ced066bac626b7fa,-1
0x1e32ab6deb18952c6625e6e65628bb49b5d0a768,15
0x1e771e1b95c86491299d6e2a5c3b3842d03b552e,-1
0x1ea27bce786a81022dfc156059771e8d3279a9a6,-1
0x1ed8d101622beaf192d06137dfb220851bcad9fa,13
0x1ee9c17b393a85f0b237e72230016b2c16b9acd3,1
0x1f4ab7e9acebb8b591e74b81e34bebe8be9bc934,9
0x1f75442e5d0856193986560934e1e6eb5faaf3c5,14
0x1fcfc47ca84bdbf6d3a5e860cee32ecb9427c323,16
0x2025137a136bea7446deba681cbfc7cf1970840e,-1
0x203f4c410f3c35cead9f35b6de2f66e773d7f26e,-1
0x208db9f389989c5c387cc3a2620cc5251eace716,0
0x208e6c516ad70b394ba3578d4f7a2c61eda1c907,-1
0x21e54e2b9b02d2c0ad2197d7ac85c34151674012,3
0x21ee4b39f27afcaa6462d84bd904497f44411c5e,-1
0x21f1d8b5235f065334d7344e09b930692bf5e806,-1
0x21fe273e04336c952fa0de439ad00529a9dd7909,-1
0x221c1bc9d4407526f9ca2ba13693256117afe6d5,10
0x2291a8376fbefdd4847a3c47992f0ee650427d81,-1
0x235aca84e3ef5577015cfc3e22f0ac390e7e1fc9,-1
0x2365c1c88327d3c9acbd4d487392643f2c9049d4,-1
0x23abb0ff0b1cbfd95b20a0fd72b83a2939f0ba5b,-1
0x2431edfcb662e6ff6deab113cc91878a0b53fb0f,-1
0x24496da3077f40a183231741486430fb1a815c53,8
0x24a44aef48aeb27c7708dabfccda14b41fbf0ae1,21
0x24c2fe1544fef9056db52c91d0b1fb4b1dc4e48f,-1
0x24d02e64d4a2580d570666546ac937adab2b3e08,-1
0x24ecc0841eb0ca9bb60ce585b886c826cfd62d8a,-1
0x250a09aafe5c4e63a8c11d1743e19694d79ce113,18
0x252530586e885231d62edbf1b6788177ef5d6b61,5
0x25554a80781ee62414c3747e81c3f50157c634b1,-1
0x258a4b8a8447c61aabf1bef9bb14ee4d69efff03,0
0x25cde502eb0c78409b456d1aedaa34a5ff007765,-1
0x25d359b0e809c64cfb661b2541dd2643c6f6d72f,4
0x25e7de497c501f102e88f1798c003042f14eb9bb,-1
0x260db26a5d85e9e6983257e8af71a60e95873d6b,4
0x2759d5ef1d8d0dbcd893ee36b0743b77fbe7c9e0,-1
0x27c9fa86c91b84ddfa15de58c482ff662498d65d,-1
0x28233e5edddfc9f71f0cecf58ca98f6a2ca11f43,-1
0x2874aa935c118b8e170c35ae0e75e507d1332218,-1
0x288ed4efc8fbd1e42a06fe083ea942d20c90b336,16
0x28ce248832bf0ca164970a062ce0e48f55645ec8,-1
0x295e535d979c61a0ce4adb4e0bbabd8a0acd6134,-1
0x29721caea4427b6bf8061f2fee469a62be1d02be,-1
0x29c26825b7d43ee6184358830c862b2e80b2f685,-1
0x2a1d4a8adc73ed606a5376b525e58792c64f8ca0,11
0x2a6e0b832b08c040ca59625025b6b8aec96a29f6,23
0x2a934d40944e2b686ee9cdce74a3f67d32cd0347,22
0x2ab1086462946b6f6713d6fddb73df7abb716554,-1
0x2b294f5aaf6d6f8081bc98069ebd8c4eb60cda44,7
0x2c352e53a2b471b0d98f00d6117ee40e708c72b8,-1
0x2c841dc4b15bed72a9a6e98951229951fda18fcd,-1
0x2cb562384765bea1612ceb60007e315f904fbe86,-1
0x2cbcfa87aa570d72ad7b376e729e167071f1cd33,-1
0x2cd991f48ba31536a96b772536a1daaaedf150ae,5
0x2cd9f4645b14bf968212c7c108213eaeb193946e,13
0x2ce1af69a615704971daaa73a2e54faaa18668f6,-1
0x2ce1fbdd33020c5992021c8924134590f66a2acd,-1
0x2d19f73005f0450c5e9f459dfc7e8da9c581b788,5
0x2d5830b16f7d9dbdc12024bc6df011859920f320,20
0x2da0b905bfa45b9ec7037a612bb8d9b76fddb8cf,5
0x2e1aa624f04fa7ab7198c6fbfeaa42a707b42c1a,-1
0x2e2dc7dd191f8aa6994368b3482a4ff9791ae2b4,-1
0x2ea35ef03178ccc7ab44df03a9af7a06180a208c,-1
0x2ebdee94cb5df4a8f4b5acab118f6d4e55896aed,18
0x2f062d9aa98209d2c79a744b0d4ef203d363b7d6,16
0x2f47da39204b17c652b20c72569aacc7adbd719e,2
0x2f55331b4fa24efa8fbfeafb896669c0733f827a,11
0x2f6c194ab47cd777053af1fe799a63bf30322ef8,-1
0x2f7479ad52a75eb90a9b2acfb296a39d41828c36,19
0x2f85b47e90de2de52cc054e8622a39645ae7af21,4
0x2f9d7b4d0bba27aaa92173460e0520740e7d069b,-1
0x2fa0b8a5dfbdbb71a7aa148d4cc45dee9ddfd3f3,21
0x3005fade4c0df5e1cd187d7062da359416f0eb8e,9
0x3093189bd4d429cb2f47d03c14b9e9200b6b9425,23
0x30bd7e66f3f70e08b31d22fb1bf01178bcd7aae6,-1
0x30d06de4ecf52727b6b127640f2d0c6cbb1a466f,8
0x31323f632ecf0918fca1556ef835b1c20805e248,-1
0x31652a303eff850f57e73f4cf8f201adccb2d617,4
0x31ba5e1cf7629c01d91e0ac0ee984098a46d653e,-1
0x31dea2516beee92135b96f464eeec3cf292a13f2,0
0x329f4435e0f22899b733756c71aa12c1004146b1,5
0x32d12513ab62d4dc7143a0f6cb605752ace46822,21
0x32d7fb99e113c5480410768041302149897d4214,-1
